hjd,camera,mag,mag_err,flux,flux_err
2457323.74199,bc,14.37,0.02731,7.085,0.178
2457150.11556,bd,14.235,0.02612,7.759,0.186
2457310.78208,bc,14.236,0.02574,8.018,0.19
2457179.07643,bc,14.274,0.02615,7.742,0.186
2458447.7776,bd,14.339,0.02738,7.055,0.178
2457327.80867,bc,14.232,0.02569,8.045,0.19
2457131.13085,bc,14.386,0.02752,6.982,0.177
2457238.00719,bc,14.302,0.02648,7.542,0.184
2457931.06245,bd,14.189,0.02562,8.099,0.191
2457205.95624,bd,14.223,0.02599,7.848,0.188
2457667.90644,bc,14.22,0.02557,8.131,0.191
2457174.06137,bd,14.251,0.0263,7.648,0.185
2457563.00932,bd,14.274,0.02657,7.49,0.183
2458062.86247,bd,14.263,0.02644,7.56,0.184
2458067.71837,bc,14.284,0.02627,7.666,0.185
2457573.95,bc,14.212,0.02547,8.199,0.192
2457261.98332,bc,14.254,0.02593,7.884,0.188
2457193.03746,bd,14.265,0.02646,7.546,0.184
2457303.75175,bc,14.228,0.02565,8.076,0.191
2458344.96915,bc,14.337,0.0269,7.303,0.181
2458025.9076,bd,14.266,0.02648,7.539,0.184
2457490.12632,bc,14.287,0.0263,7.645,0.185
2458075.77856,bc,14.379,0.02743,7.027,0.177
2457933.04314,bc,14.257,0.02596,7.863,0.188
2457505.10101,bc,14.2,0.02536,8.288,0.193
2457671.87359,bd,14.211,0.02585,7.931,0.189
2457261.8717,bd,14.359,0.02764,6.921,0.176
2458428.7545,bc,14.295,0.02639,7.591,0.184
2458270.00598,bc,14.263,0.02603,7.817,0.187
2457009.72066,bd,14.274,0.02657,7.486,0.183
2457158.07411,bd,14.33,0.02726,7.11,0.178
2458021.97094,bd,14.273,0.02656,7.497,0.183
2458066.82479,bd,14.25,0.02629,7.657,0.185
2458409.79395,bd,14.282,0.02667,7.431,0.182
2457914.01285,bd,14.237,0.02614,7.746,0.186
2458028.87945,bd,14.208,0.02582,7.955,0.189
2457133.10383,bc,14.269,0.0261,7.772,0.187
2457601.87927,bd,14.255,0.02635,7.62,0.185
2457356.69383,bd,14.31,0.02701,7.24,0.18
2457614.93173,bc,14.286,0.02629,7.653,0.185
2457165.09788,bd,14.337,0.02735,7.064,0.178
2458045.88834,bd,14.268,0.0265,7.528,0.184
2457366.71039,bd,14.337,0.02735,7.064,0.178
2458022.71335,bd,14.216,0.02591,7.901,0.188
2457358.77409,bd,14.199,0.02573,8.021,0.19
2457522.05651,bc,14.296,0.02641,7.584,0.184
2457669.86649,bc,14.285,0.02628,7.663,0.185
